testMse:0.060399126,testPSNR:28.97769,mse:0.20960183,ema:0.21039224,time:65.43328929499991,frame:43000
testMse:0.06023301,testPSNR:28.989649,mse:0.20779723,ema:0.21011755,time:66.19318136599989,frame:43500
testMse:0.060321566,testPSNR:28.983269,mse:0.21405415,ema:0.21054566,time:66.95360169199986,frame:44000
testMse:0.060259573,testPSNR:28.987734,mse:0.21047686,ema:0.20993172,time:67.71465148999991,frame:44500
testMse:0.060141042,testPSNR:28.996286,mse:0.21424226,ema:0.21103872,time:68.47665839400004,frame:45000
testMse:0.06011206,testPSNR:28.998379,mse:0.20950264,ema:0.20999551,time:69.24046860200006,frame:45500
testMse:0.06011483,testPSNR:28.99818,mse:0.20816958,ema:0.2103777,time:70.00072605500021,frame:46000
testMse:0.06008827,testPSNR:29.0001,mse:0.21000284,ema:0.21044356,time:70.76118414700015,frame:46500
testMse:0.059988465,testPSNR:29.007318,mse:0.20827901,ema:0.21001855,time:71.52140515700006,frame:47000
testMse:0.059983354,testPSNR:29.007687,mse:0.20750035,ema:0.21064243,time:72.28201183300004,frame:47500
testMse:0.060020134,testPSNR:29.005028,mse:0.21080884,ema:0.21106774,time:73.04252913200003,frame:48000
testMse:0.05999912,testPSNR:29.006548,mse:0.21025662,ema:0.21011499,time:73.80291356199996,frame:48500
testMse:0.05996977,testPSNR:29.008673,mse:0.20785075,ema:0.21018389,time:74.563299952,frame:49000
testMse:0.05996507,testPSNR:29.009014,mse:0.21185325,ema:0.21008378,time:75.32417239199997,frame:49500
testMse:0.059913263,testPSNR:29.012766,mse:0.21123427,ema:0.21107411,time:76.08492573099991,frame:50000
testMse:0.059876155,testPSNR:29.015455,mse:0.21193962,ema:0.21014284,time:76.84573911099996,frame:50500
testMse:0.0599065,testPSNR:29.013256,mse:0.2107505,ema:0.21013398,time:77.60704812299997,frame:51000
testMse:0.059829682,testPSNR:29.01883,mse:0.21117559,ema:0.21088895,time:78.36856098199968,frame:51500
testMse:0.059739754,testPSNR:29.025362,mse:0.20905653,ema:0.21086131,time:79.12831217899975,frame:52000
testMse:0.05981515,testPSNR:29.019882,mse:0.2121093,ema:0.20997806,time:79.88814816699954,frame:52500
testMse:0.0597599,testPSNR:29.023897,mse:0.2133753,ema:0.2108314,time:80.64795100399947,frame:53000
testMse:0.059766166,testPSNR:29.023441,mse:0.21237184,ema:0.21064053,time:81.40825287099948,frame:53500
