gt_L_r,gt_L_g,gt_L_b,gt_T_r,gt_T_g,gt_T_b,pred_L_r,pred_L_g,pred_L_b,pred_T_r,pred_T_g,pred_T_b
0,0,0,1,0.975586,0.193082,0,0,0,1,0.966726,0.743541
0,0,0,0,0,0,0,0,0,0.940024,0.922622,0.751466
0,0,0,1,0.944273,0.429337,0,0,0,0.998779,0.951774,0.73431
0,0,0,1,0.944529,0.366107,0,0,0,1,0.971184,0.746693
0,0,0,1,0.948452,1,0,0,0,0.99999,0.927495,0.680879
0,0,0,1,0.975352,0.192301,0,0,0,1,0.960287,0.742982
0,0,0,1,0.938063,1,0,0,0,0.996448,0.928149,0.696268
0,0,0,1,0.93349,0.576008,0,0,0,0.999999,0.956957,0.719679
0,0,0,1,0.933725,1,0,0,0,0.998469,0.91804,0.674587
0,0,0,1,0.934676,0.789128,0,0,0,0.858363,0.823044,0.648132
0,0,0,1,0.936673,1,0,0,0,1,0.974043,0.740362
0,0,0,1,0.911157,1,0,0,0,0.937096,0.886027,0.739046
0,0,0,1,0.950868,0.309608,0,0,0,1,0.980766,0.736211
0,0,0,1,0.950623,1,0,0,0,0.999998,0.936865,0.712432
0,0,0,1,0.933996,1,0,0,0,0.99819,0.973544,0.80271
0,0,0,1,0.963435,0.243084,0,0,0,0.965641,0.888178,0.692954
0,0,0,1,0.938538,0.428013,0,0,0,1,0.972204,0.719581
0,0,0,0,0,0,0,0,0,0.937669,0.91228,0.739799
0,0,0,1,0.973955,0.453063,0,0,0,0.999999,0.945399,0.692746
0,0,0,1,0.980153,0.224585,0,0,0,0.915205,0.880695,0.685529
0,0,0,1,0.94944,1,0,0,0,1,0.969843,0.732783
0,0,0,1,0.910616,1,0,0,0,0.999965,0.938801,0.713132
0,0,0,0,0,0,0,0,0,0.91181,0.865338,0.653016
0,0,0,1,0.945812,0.396524,0,0,0,1,0.975155,0.742608
0,0,0,0,0,0,0,0,0,0.95388,0.934155,0.76207
0,0,0,1,0.938883,0.428848,0,0,0,1,0.981239,0.752377
0,0,0,1,0.975311,0.192163,0,0,0,1,0.976265,0.721645
0,0,0,0,0,0,0,0,0,1,0.958847,0.733738
0,0,0,1,0.94494,1,0,0,0,1,0.954137,0.71123
0,0,0,0,0,0,0,0,0,0.99943,0.941654,0.708313
0,0,0,1,0.947267,0.365301,0,0,0,0.999998,0.960805,0.742235
0,0,0,1,0.958772,0.28543,0,0,0,0.999961,0.928797,0.685529
0,0,0,1,0.954079,1,0,0,0,0.959001,0.907476,0.698432
0,0,0,1,0.998114,0.370695,0,0,0,0.999908,0.964052,0.722625
